path	# lines of code
zeeguu/api/endpoints/user_notifications.py	72
zeeguu/api/endpoints/exercise_sessions.py	65
zeeguu/api/endpoints/sessions.py	91
zeeguu/api/endpoints/crawl_stats.py	255
zeeguu/api/endpoints/cefr_assessment.py	119
zeeguu/api/endpoints/own_texts.py	116
zeeguu/api/endpoints/friends.py	245
zeeguu/api/endpoints/browsing_sessions.py	55
zeeguu/api/endpoints/listening_sessions.py	52
zeeguu/api/endpoints/reading_sessions.py	54
zeeguu/api/endpoints/accounts.py	292
zeeguu/api/endpoints/daily_streak.py	65
zeeguu/api/endpoints/teacher_dashboard/cohorts.py	181
zeeguu/api/endpoints/teacher_dashboard/student_readings.py	12
zeeguu/api/endpoints/teacher_dashboard/student_overviews.py	12
zeeguu/api/endpoints/teacher_dashboard/_common_api_parameters.py	33
zeeguu/api/endpoints/teacher_dashboard/__init__.py	8
zeeguu/api/endpoints/teacher_dashboard/article_management.py	147
zeeguu/api/endpoints/teacher_dashboard/_permissions.py	32
zeeguu/api/endpoints/teacher_dashboard/student_exercises.py	21
zeeguu/api/endpoints/teacher_dashboard/student.py	59
zeeguu/api/endpoints/teacher_dashboard/helpers.py	63
zeeguu/api/endpoints/teacher_dashboard/_only_teachers_decorator.py	10
zeeguu/api/endpoints/teacher_dashboard/student_words.py	18
zeeguu/api/endpoints/teacher_dashboard/general.py	51
zeeguu/api/endpoints/user_article.py	176
zeeguu/api/endpoints/feature_toggles.py	17
zeeguu/api/endpoints/user_video.py	44
zeeguu/api/endpoints/generated_examples.py	569
zeeguu/api/endpoints/__init__.py	48
zeeguu/api/endpoints/session_history.py	238
zeeguu/api/endpoints/leaderboards.py	116
zeeguu/api/endpoints/nlp.py	98
zeeguu/api/endpoints/article_simplification.py	64
zeeguu/api/endpoints/topics.py	115
zeeguu/api/endpoints/user_statistics.py	18
zeeguu/api/endpoints/translation.py	460
zeeguu/api/endpoints/audio_lessons.py	189
zeeguu/api/endpoints/user_languages.py	91
zeeguu/api/endpoints/system_languages.py	32
zeeguu/api/endpoints/badges.py	87
zeeguu/api/endpoints/search.py	185
zeeguu/api/endpoints/student.py	40
zeeguu/api/endpoints/article_cefr_recompute.py	115
zeeguu/api/endpoints/speech.py	109
zeeguu/api/endpoints/activity_tracking.py	84
zeeguu/api/endpoints/exercises.py	266
zeeguu/api/endpoints/helpers/activity_sessions.py	30
zeeguu/api/endpoints/helpers/__init__.py	1
zeeguu/api/endpoints/user_watching_session.py	32
zeeguu/api/endpoints/article_upload.py	185
zeeguu/api/endpoints/bookmarks_and_words.py	578
zeeguu/api/endpoints/article.py	447
zeeguu/api/__init__.py	1
zeeguu/api/utils/parse_json_boolean.py	8
zeeguu/api/utils/feedparser_extensions.py	28
zeeguu/api/utils/background.py	14
zeeguu/api/utils/rate_limiter.py	38
zeeguu/api/utils/__init__.py	3
zeeguu/api/utils/session_helpers.py	11
zeeguu/api/utils/caching_decorator.py	2
zeeguu/api/utils/route_wrappers.py	101
zeeguu/api/utils/security_checks.py	69
zeeguu/api/utils/abort_handling.py	12
zeeguu/api/utils/json_result.py	15
zeeguu/api/custom_fmd_graphs.py	9
zeeguu/api/app.py	200
zeeguu/cl/__init__.py	3
zeeguu/logging/__init__.py	22
tools/one_time/fix_html_entities_in_articles.py	36
