file 1	file 2	# same commits	# commits file 1	# commits file 2
zeeguu/core/model/user_language.py	zeeguu/core/audio_lessons/daily_lesson_generator.py	4	60	86
zeeguu/api/endpoints/leaderboards.py	zeeguu/api/endpoints/badges.py	4	13	53
tools/migrations/26-02-24-b--add_username.py	zeeguu/api/endpoints/user.py	4	16	101
tools/migrations/26-02-24-a--add_username.sql	tools/migrations/26-02-19-a--add_badges.sql	4	6	10
zeeguu/core/model/friend_request.py	tools/migrations/26-02-19-a--add_badges.sql	4	43	10
tools/migrations/26-02-24-friendship_system.sql	tools/migrations/26-02-19-a--add_badges.sql	4	35	10
zeeguu/api/endpoints/leaderboards.py	zeeguu/api/endpoints/user.py	4	13	101
zeeguu/api/endpoints/leaderboards.py	zeeguu/api/endpoints/daily_streak.py	4	13	58
zeeguu/core/model/badge.py	zeeguu/core/model/__init__.py	4	23	127
zeeguu/core/model/badge_category.py	zeeguu/core/model/__init__.py	4	4	127
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	tools/migrations/26-02-24-a--add_username.sql	4	39	6
zeeguu/core/model/user_badge_progress.py	zeeguu/core/badges/listeners.py	4	9	21
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	tools/migrations/26-02-24-friendship_system.sql	4	39	35
zeeguu/core/model/user_badge_progress.py	zeeguu/core/badges/badge_progress.py	4	9	26
zeeguu/core/account_management/user_account_deletion.py	tools/migrations/26-02-19-a--add_badges.sql	4	26	10
zeeguu/core/badges/listeners.py	tools/migrations/26-02-24-a--add_username.sql	4	21	6
zeeguu/core/model/user_badge_progress.py	zeeguu/core/model/badge.py	4	9	23
zeeguu/core/model/friend_request.py	tools/migrations/26-02-19-b--insert_default_badges.sql	4	43	11
zeeguu/core/model/badge_category.py	zeeguu/core/model/badge.py	4	4	23
tools/migrations/26-02-24-friendship_system.sql	tools/migrations/26-02-19-b--insert_default_badges.sql	4	35	11
zeeguu/core/model/user_badge_progress.py	zeeguu/core/account_management/user_account_deletion.py	4	9	26
zeeguu/core/model/user_language.py	zeeguu/core/account_management/user_account_deletion.py	4	60	26
zeeguu/core/model/user_badge_progress.py	zeeguu/core/model/__init__.py	4	9	127
zeeguu/core/model/__init__.py	zeeguu/core/badges/badge_progress.py	4	127	26
zeeguu/core/model/__init__.py	zeeguu/api/endpoints/__init__.py	4	127	51
zeeguu/core/model/user_badge_progress.py	tools/migrations/26-02-19-b--insert_default_badges.sql	4	9	11
zeeguu/core/model/badge_category.py	tools/migrations/26-02-19-a--add_badges.sql	4	4	10
tools/migrations/26-02-24-a--add_username.sql	tools/migrations/26-02-19-b--insert_default_badges.sql	4	6	11
zeeguu/core/leaderboards/leaderboards.py	zeeguu/core/model/user.py	4	16	206
zeeguu/core/model/badge_category.py	zeeguu/core/account_management/user_account_deletion.py	4	4	26
tools/migrations/26-02-24-friendship_system.sql	tools/migrations/26-02-24-a--add_username.sql	4	35	6
zeeguu/core/model/article.py	zeeguu/api/endpoints/article_upload.py	4	188	11
zeeguu/core/model/user_badge_progress.py	tools/migrations/26-02-19-a--add_badges.sql	4	9	10
zeeguu/core/model/friend_request.py	tools/migrations/26-02-24-b--add_username.py	4	43	16
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	tools/migrations/26-02-24-b--add_username.py	4	39	16
zeeguu/core/friends/listeners.py	zeeguu/core/model/user.py	4	13	206
zeeguu/core/model/badge.py	zeeguu/core/account_management/user_account_deletion.py	4	23	26
zeeguu/core/model/user_badge_progress.py	zeeguu/core/model/badge_category.py	4	9	4
zeeguu/core/model/__init__.py	tools/migrations/26-02-19-a--add_badges.sql	4	127	10
zeeguu/core/badges/badge_progress.py	zeeguu/core/audio_lessons/daily_lesson_generator.py	3	26	86
zeeguu/core/model/badge.py	zeeguu/api/app.py	3	23	78
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/api/app.py	3	39	78
zeeguu/core/model/badge.py	zeeguu/core/audio_lessons/daily_lesson_generator.py	3	23	86
zeeguu/core/friends/__init__.py	zeeguu/api/app.py	3	4	78
zeeguu/core/model/user_word.py	zeeguu/api/endpoints/badges.py	3	58	53
zeeguu/core/model/user_word.py	zeeguu/core/friends/listeners.py	3	58	13
zeeguu/core/account_management/user_account_deletion.py	zeeguu/api/endpoints/leaderboards.py	3	26	13
zeeguu/api/endpoints/translation.py	zeeguu/api/app.py	3	137	78
zeeguu/core/friends/__init__.py	zeeguu/core/badges/listeners.py	3	4	21
zeeguu/core/model/user_badge.py	zeeguu/api/endpoints/activity_tracking.py	3	5	34
zeeguu/core/badges/badge_progress.py	zeeguu/api/endpoints/translation.py	3	26	137
zeeguu/core/model/friend_request.py	zeeguu/api/endpoints/leaderboards.py	3	43	13
zeeguu/core/events/__init__.py	zeeguu/api/endpoints/activity_tracking.py	3	4	34
zeeguu/core/model/user_language.py	zeeguu/api/endpoints/translation.py	3	60	137
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/api/endpoints/translation.py	3	39	137
zeeguu/core/model/user_word.py	zeeguu/core/badges/badge_progress.py	3	58	26
tools/migrations/26-04-14--add_article_upload.sql	zeeguu/core/model/__init__.py	3	3	127
zeeguu/core/model/user_word.py	zeeguu/core/friends/__init__.py	3	58	4
zeeguu/api/endpoints/friends.py	tools/migrations/26-02-24-b--add_username.py	3	85	16
zeeguu/core/model/user_badge.py	zeeguu/core/friends/listeners.py	3	5	13
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/events/__init__.py	3	39	4
tools/migrations/26-02-24-c--add_username.sql	tools/migrations/26-02-24-a--add_username.sql	3	3	6
zeeguu/core/badges/badge_progress.py	zeeguu/core/account_management/user_account_creation.py	3	26	51
zeeguu/core/friends/__init__.py	zeeguu/api/endpoints/badges.py	3	4	53
zeeguu/core/badges/badge_progress.py	zeeguu/core/model/user.py	3	26	206
zeeguu/core/badges/listeners.py	zeeguu/core/account_management/user_account_creation.py	3	21	51
zeeguu/core/badges/listeners.py	zeeguu/core/audio_lessons/daily_lesson_generator.py	3	21	86
zeeguu/core/events/__init__.py	zeeguu/api/endpoints/badges.py	3	4	53
zeeguu/api/endpoints/activity_tracking.py	zeeguu/api/app.py	3	34	78
zeeguu/core/model/badge.py	zeeguu/core/friends/__init__.py	3	23	4
zeeguu/core/friends/listeners.py	zeeguu/api/endpoints/activity_tracking.py	3	13	34
zeeguu/core/friends/listeners.py	zeeguu/api/endpoints/leaderboards.py	3	13	13
zeeguu/core/friends/listeners.py	zeeguu/core/friends/__init__.py	3	13	4
zeeguu/core/llm_services/simplification_and_classification.py	zeeguu/api/endpoints/article_upload.py	3	21	11
zeeguu/api/endpoints/translation.py	zeeguu/api/endpoints/badges.py	3	137	53
tools/migrations/26-02-24-a--add_username.sql	zeeguu/api/endpoints/user.py	3	6	101
zeeguu/core/model/article_upload.py	zeeguu/core/model/__init__.py	3	9	127
zeeguu/core/badges/listeners.py	zeeguu/api/endpoints/translation.py	3	21	137
zeeguu/core/model/user_badge.py	zeeguu/core/friends/__init__.py	3	5	4
zeeguu/core/model/user_badge.py	zeeguu/core/badges/listeners.py	3	5	21
zeeguu/core/model/user_language.py	zeeguu/core/friends/__init__.py	3	60	4
zeeguu/core/events/__init__.py	zeeguu/core/badges/badge_progress.py	3	4	26
zeeguu/core/audio_lessons/daily_lesson_generator.py	zeeguu/api/endpoints/badges.py	3	86	53
zeeguu/core/model/badge.py	zeeguu/api/endpoints/translation.py	3	23	137
zeeguu/api/endpoints/accounts.py	zeeguu/core/model/user.py	3	37	206
zeeguu/api/endpoints/leaderboards.py	zeeguu/core/model/user.py	3	13	206
zeeguu/core/badges/listeners.py	zeeguu/api/app.py	3	21	78
zeeguu/core/model/article.py	zeeguu/api/endpoints/__init__.py	3	188	51
zeeguu/core/model/user_badge.py	zeeguu/core/events/__init__.py	3	5	4
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/model/user_word.py	3	39	58
zeeguu/core/audio_lessons/daily_lesson_generator.py	zeeguu/api/endpoints/translation.py	3	86	137
zeeguu/core/events/__init__.py	zeeguu/api/app.py	3	4	78
zeeguu/core/model/__init__.py	zeeguu/api/endpoints/leaderboards.py	3	127	13
zeeguu/api/app.py	zeeguu/api/endpoints/badges.py	3	78	53
zeeguu/core/model/user_word.py	zeeguu/core/model/user_language.py	3	58	60
zeeguu/core/friends/listeners.py	zeeguu/api/app.py	3	13	78
zeeguu/core/model/user_badge.py	zeeguu/api/endpoints/translation.py	3	5	137
zeeguu/core/model/user_badge.py	zeeguu/core/audio_lessons/daily_lesson_generator.py	3	5	86
zeeguu/core/friends/__init__.py	zeeguu/core/events/__init__.py	3	4	4
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/audio_lessons/daily_lesson_generator.py	3	39	86
tools/migrations/26-02-24-c--add_username.sql	tools/migrations/26-02-24-b--add_username.py	3	3	16
zeeguu/core/model/user_language.py	tools/migrations/26-02-24-b--add_username.py	3	60	16
zeeguu/core/model/badge.py	zeeguu/core/events/__init__.py	3	23	4
zeeguu/core/friends/listeners.py	zeeguu/core/events/__init__.py	3	13	4
zeeguu/core/events/__init__.py	zeeguu/core/audio_lessons/daily_lesson_generator.py	3	4	86
zeeguu/core/model/user_language.py	zeeguu/core/events/__init__.py	3	60	4
zeeguu/core/model/article.py	tools/migrations/26-04-14--add_article_upload.sql	3	188	3
zeeguu/core/model/user_badge.py	zeeguu/core/badges/badge_progress.py	3	5	26
zeeguu/core/leaderboards/leaderboards.py	zeeguu/api/endpoints/leaderboards.py	3	16	13
zeeguu/core/friends/friend_streak.py	zeeguu/api/endpoints/user.py	3	3	101
zeeguu/core/model/user_language.py	zeeguu/api/app.py	3	60	78
zeeguu/api/endpoints/activity_tracking.py	zeeguu/api/endpoints/badges.py	3	34	53
zeeguu/core/model/friendship.py	zeeguu/core/friends/friend_streak.py	3	9	3
zeeguu/core/model/user_language.py	zeeguu/core/model/badge.py	3	60	23
zeeguu/api/endpoints/article_upload.py	zeeguu/api/endpoints/__init__.py	3	11	51
zeeguu/core/badges/badge_progress.py	zeeguu/api/endpoints/friends.py	3	26	85
zeeguu/core/model/user_word.py	zeeguu/api/endpoints/translation.py	3	58	137
zeeguu/core/events/__init__.py	zeeguu/core/badges/listeners.py	3	4	21
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/friends/listeners.py	3	39	13
zeeguu/core/events/__init__.py	zeeguu/api/endpoints/translation.py	3	4	137
zeeguu/core/model/user_avatar.py	zeeguu/core/badges/badge_progress.py	3	15	26
zeeguu/core/model/user_word.py	zeeguu/core/events/__init__.py	3	58	4
zeeguu/core/model/user_word.py	zeeguu/api/app.py	3	58	78
zeeguu/core/model/user_word.py	zeeguu/api/endpoints/activity_tracking.py	3	58	34
zeeguu/core/model/article_upload.py	tools/migrations/26-04-14--add_article_upload.sql	3	9	3
