Metric		Current
UNIT_SIZE_COMPONENT_STANZA_SERVICE_NEGLIGIBLE_RISK_COUNT		8
UNIT_SIZE_COMPONENT_STANZA_SERVICE_LOW_RISK_LOC		43
UNIT_SIZE_COMPONENT_STANZA_SERVICE_LOW_RISK_PERCENTAGE		14.78
UNIT_SIZE_COMPONENT_STANZA_SERVICE_LOW_RISK_COUNT		3
UNIT_SIZE_COMPONENT_STANZA_SERVICE_MEDIUM_RISK_LOC		157
UNIT_SIZE_COMPONENT_STANZA_SERVICE_MEDIUM_RISK_PERCENTAGE		53.95
UNIT_SIZE_COMPONENT_STANZA_SERVICE_MEDIUM_RISK_COUNT		5
UNIT_SIZE_COMPONENT_STANZA_SERVICE_HIGH_RISK_LOC		57
UNIT_SIZE_COMPONENT_STANZA_SERVICE_HIGH_RISK_PERCENTAGE		19.59
UNIT_SIZE_COMPONENT_STANZA_SERVICE_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_STANZA_SERVICE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_STANZA_SERVICE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_STANZA_SERVICE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ZEEGUU_NEGLIGIBLE_RISK_LOC		6,547
UNIT_SIZE_COMPONENT_ZEEGUU_NEGLIGIBLE_RISK_PERCENTAGE		29.85
UNIT_SIZE_COMPONENT_ZEEGUU_NEGLIGIBLE_RISK_COUNT		1,364
UNIT_SIZE_COMPONENT_ZEEGUU_LOW_RISK_LOC		4,435
UNIT_SIZE_COMPONENT_ZEEGUU_LOW_RISK_PERCENTAGE		20.22
UNIT_SIZE_COMPONENT_ZEEGUU_LOW_RISK_COUNT		313
UNIT_SIZE_COMPONENT_ZEEGUU_MEDIUM_RISK_LOC		6,065
UNIT_SIZE_COMPONENT_ZEEGUU_MEDIUM_RISK_PERCENTAGE		27.65
UNIT_SIZE_COMPONENT_ZEEGUU_MEDIUM_RISK_COUNT		197
UNIT_SIZE_COMPONENT_ZEEGUU_HIGH_RISK_LOC		2,923
